报告期,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
流动资产合计(万元),294640,304292,269923,302099,268367,244891,222472,233096,229301,210411,181354,164732,172020,159477,138018,126662,127366,118492,112862,97162,109355,97855,103738,106896,113108,122255,135112,148525,230148,176717,181124,169604,190124,199002,175583,169767,178357,177189,202640,208580,250009,195264,213444,171826,173947,171977,173020,162754,207789,192501,148587,126638,169973,154040,
固定资产净额(万元),--,53110,--,51690,--,52192,43007,41592,41568,41685,42350,42991,43544,43580,44087,44656,45396,45978,46722,47498,48270,49019,49435,50209,51076,51835,59027,59870,50862,51610,15565,15888,15359,14591,15249,15029,15877,16201,16525,18576,18681,18529,14876,15778,14868,14571,15907,16199,16033,16262,17596,17831,14943,16435,
资产总计(万元),391901,394598,357810,385914,343651,319798,296367,309963,299108,278889,247325,229352,234478,220354,195792,184797,186729,179475,175384,159315,172923,162215,187955,191956,198010,206157,224730,237520,320576,265221,245278,230166,245935,252918,214350,205330,219672,214194,239168,247309,287238,279417,296526,254143,255471,251250,208911,198952,242881,226396,183077,161049,204838,190348,
流动负债合计(万元),161021,181043,162097,219493,132788,130999,119102,152673,123292,119085,97143,92214,77252,72493,55050,49852,49420,50577,38170,24162,37977,32081,30733,32528,33768,33645,33966,36609,109990,66179,42710,36636,46134,71283,42326,38880,43435,50354,86665,92677,106828,113311,147226,109407,82990,86810,72765,72685,102054,95153,60004,43840,81645,71483,
非流动负债合计(万元),526,2356,2664,2571,3323,3115,3251,2806,2306,1776,1367,1209,1059,909,1360,1360,1340,761,9541,9541,9541,9541,8772,9155,9575,9298,8802,9005,9411,9411,14905,14830,14755,14681,15752,15672,17711,17603,17379,17347,17416,15674,15562,15873,18356,20000,--,--,--,--,--,--,--,--,
负债合计(万元),161547,183399,164761,222064,136112,134115,122353,155479,125597,120861,98510,93423,78311,73402,56409,51212,50761,51338,47710,33703,47517,41622,39505,41683,43343,42943,42768,45614,119401,75590,57615,51466,60889,85964,58078,54551,61145,67956,104044,110024,124244,128985,162788,125281,101346,106810,72765,72685,102054,95153,60004,43840,81645,71483,
所有者权益(或股东权益)合计(万元),230354,211199,193050,163850,207539,185683,174014,154484,173511,158028,148816,135929,156168,146952,139383,133585,135968,128137,127673,125612,125406,120593,148450,150273,154667,163215,181963,191906,201175,189632,187663,178700,185046,166954,156273,150779,158527,146237,135124,137285,162994,150432,133738,128863,154125,144441,136146,126267,140827,131243,123073,117209,123193,118866,
期初现金及现金等价物余额(万元),124261,102519,102519,102519,102587,102893,102893,102893,102893,50429,50429,50429,50429,36365,36365,36365,36365,9900,9900,9900,9900,23951,23951,23951,23951,23288,23288,23288,23288,51161,51161,51161,52073,30649,30649,30649,30649,59589,59589,59589,61022,36288,36288,36288,36288,72239,72239,72239,72239,47767,47767,47767,47767,37811,37811,37811,37811,
经营活动产生的现金流量净额(万元),8122,86774,71925,50435,24636,43109,14657,-1192,-9314,61143,36947,10708,16864,38191,26303,8791,7528,23404,17335,3557,11207,-10589,-9088,-9495,-6198,-44073,-38934,-27189,-6802,6258,14119,5395,1117,47242,20879,14784,3473,-3736,-15018,-9531,48,61387,57503,31357,6226,2540,4693,-7521,6065,59492,27745,16446,17358,13703,-864,-7408,-2872,
投资活动产生的现金流量净额(万元),-5946,-21419,-14136,-2552,-1043,-13177,-8501,-6950,-2391,13834,18472,-3731,-2951,-20457,3148,-685,-510,3062,1754,-487,-244,-2883,-2689,-2470,-1756,13977,14659,14965,9886,-20675,-12336,-6381,-2734,-12831,-6744,-3463,-2458,3494,1860,3573,3533,-3433,-4231,-5222,-4716,-37626,-1945,-1569,-201,1184,3028,3228,3954,8519,-4355,-8121,-16828,
筹资活动产生的现金流量净额(万元),0,-43613,-42967,0,0,-30306,-29692,0,0,-22513,-22246,0,0,-3671,-3671,0,0,0,0,0,0,-580,-894,-894,-1,30759,31076,31125,-1234,-13456,-11236,-4462,0,-13900,-12743,-12743,0,-28697,-28497,-23671,-431,-34652,-29291,-28950,-1476,-865,-21395,-20708,1349,-36203,-38272,-37775,-3812,-12266,-1533,1987,10955,
现金及现金等价物净增加额(万元),2176,21742,14822,47883,23593,-374,-23536,-8142,-11705,52464,33172,6977,13913,14064,25780,8106,7019,26465,19088,3071,10963,-14052,-12670,-12859,-7955,664,6801,18902,1850,-27873,-9453,-5448,-1617,20511,1392,-1421,1014,-28939,-41656,-29629,3150,23301,23981,-2815,33,-35951,-18648,-29799,7213,24472,-7499,-18102,17500,9955,-6752,-13542,-8745,
期末现金及现金等价物余额(万元),126437,124261,117341,150402,126179,102519,79357,94751,91188,102893,83601,57405,64341,50429,62145,44471,43384,36365,28988,12970,20863,9900,11281,11092,15997,23951,30089,42189,25138,23288,41708,45713,50455,51161,32042,29228,31664,30649,17933,29960,64172,59589,60269,33473,36321,36288,53591,42440,79452,72239,40267,29665,65267,47767,31060,24269,29066,		
		
  
